date_iso,date_label,day,festival,month,source_url
2025-01-01,01.01.2025,Wednesday,New Year,january,https://kalnirnay.co.in/january/
2025-01-01,01.01.2025,Wednesday,khristabda 2025 Begins,january,https://kalnirnay.co.in/january/
2025-01-01,01.01.2025,Wednesday,Jamadilakhar M30,january,https://kalnirnay.co.in/january/
2025-01-03,03.01.2025,बुधवार / Wednesday,सावित्रीबाई फुले महिला मुक्ती दिन / Savitribai Phule Mahila Mukti Din,january,https://kalnirnay.co.in/january/
2025-01-07,07.01.2025,सोमवार / Monday,सफाळा एकादशी / Safala Ekadashi,january,https://kalnirnay.co.in/january/
,(8:11 PM 10th to 5:27 PM 11th),गुरुवार / Thursday,दर्श अमावस्या / Darsh Amavasya,january,https://kalnirnay.co.in/january/
2025-01-12,12.01.2025,गुरुवार / Thursday,स्वामी विवेकानंद जयंती / Swami Vivekananda Jayanti,january,https://kalnirnay.co.in/january/
2025-01-12,12.01.2025,गुरुवार / Thursday,राजमाता जिजाऊ साहेब जयंती / Rajmata Jijau Saheb Jayanti,january,https://kalnirnay.co.in/january/
2025-01-14,14.01.2025,शनिवार / Saturday,भोगी / Bhogi,january,https://kalnirnay.co.in/january/
2025-01-15,15.01.2025,रविवार / Sunday,मकर संक्रांती / Makar Sankranti,january,https://kalnirnay.co.in/january/
2025-01-25,25.01.2025,शुक्रवार / Friday,शाकंबरी पौर्णिमा / Shakambari Poornima,january,https://kalnirnay.co.in/january/
2025-01-28,28.01.2025,मंगळवार / Tuesday,भीष्म अष्टमी / Bhishma Ashtami,january,https://kalnirnay.co.in/january/
2025-01-28,28.01.2025,मंगळवार / Tuesday,अंगारकी संकष्टी चतुर्थी / Angarki Sankashti Chaturthi,january,https://kalnirnay.co.in/january/
2025-02-06,06.02.2025,मंगळवार / Tuesday,शट्टीला एकादशी / Shattila Ekadashi,february,https://kalnirnay.co.in/february/
2025-02-07,07.02.2025,बुधवार / Wednesday,प्रदोष व्रत (के) / Pradosh Vrat (K),february,https://kalnirnay.co.in/february/
2025-02-08,08.02.2025,गुरुवार / Thursday,मासिक शिवरात्री / Masik Shivaratri,february,https://kalnirnay.co.in/february/
2025-02-09,09.02.2025,शुक्रवार / Friday,माघ अमावस्या / Magha Amavasya,february,https://kalnirnay.co.in/february/
2025-02-13,13.02.2025,मंगळवार / Tuesday,कुंभ संक्रांती / Kumbha Sankranti,february,https://kalnirnay.co.in/february/
2025-02-14,14.02.2025,बुधवार / Wednesday,"बसंत पंचमी, सरस्वती पूजन / Basant Panchmi, Saraswati Puja",february,https://kalnirnay.co.in/february/
2025-02-20,20.02.2025,मंगळवार / Tuesday,जया / भामी एकादशी Jaya / Bhami Ekadashi,february,https://kalnirnay.co.in/february/
2025-02-21,21.02.2025,बुधवार / Wednesday,प्रदोष व्रत (एस) / Pradosh Vrat (S),february,https://kalnirnay.co.in/february/
2025-02-24,24.02.2025,शनिवार / Saturday,माघ पौर्णिमा व्रत / Magha Purnima Vrat,february,https://kalnirnay.co.in/february/
2025-02-28,28.02.2025,बुधवार / Wednesday,संकष्टी चतुर्थी / Sankashti Chaturthi,february,https://kalnirnay.co.in/february/
2025-03-06,06.03.2025,बुधवार / Wednesday,विजया एकादशी / Vijaya Ekadashi,march,https://kalnirnay.co.in/march/
2025-03-08,08.03.2025,शुक्रवार / Friday,"महाशिवरात्री, प्रदोष व्रत, मासिक शिवरात्री / Mahashivratri, Pradosh Vrat, Masik Shivaratri",march,https://kalnirnay.co.in/march/
2025-03-10,10.03.2025,रविवार / Sunday,फाल्गुन अमावस्या / Phalguna Amavasya,march,https://kalnirnay.co.in/march/
2025-03-14,14.03.2025,गुरुवार / Thursday,मीना संक्रांती / Meena Sankranti,march,https://kalnirnay.co.in/march/
2025-03-20,20.03.2025,बुधवार / Wednesday,अमलकी एकादशी / Amalaki Ekadashi,march,https://kalnirnay.co.in/march/
2025-03-22,22.03.2025,शुक्रवार / Friday,प्रदोष व्रत (एस) / Pradosh Vrat (S),march,https://kalnirnay.co.in/march/
2025-03-24,24.03.2025,रविवार / Sunday,होलिका दहन / Holika Dahan,march,https://kalnirnay.co.in/march/
2025-03-25,25.03.2025,सोमवार / Monday,"होळी, फाल्गुन पौर्णिमा व्रत / Holi, Phalguna Purnima Vrat",march,https://kalnirnay.co.in/march/
2025-03-28,28.03.2025,गुरुवार / Thursday,संकष्टी चतुर्थी / Sankashti Chaturthi,march,https://kalnirnay.co.in/march/
2025-04-05,05.04.2025,शुक्रवार / Friday,पापमोचनी एकादशी / Papmochani Ekadashi,april,https://kalnirnay.co.in/april/
2025-04-06,06.04.2025,शनिवार / Saturday,प्रदोष व्रत (के) / Pradosh Vrat (K),april,https://kalnirnay.co.in/april/
2025-04-07,07.04.2025,सोमवार / Monday,मासिक शिवरात्री / Masik Shivaratri,april,https://kalnirnay.co.in/april/
2025-04-08,08.04.2025,सोमवार / Monday,चैत्र अमावस्या / Chaitra Amavasya,april,https://kalnirnay.co.in/april/
