date_iso,date_label,day,festival,month,source_url
,"January 1, 2026 / ०१ जानेवारी २०२६",Thursday / गुरुवार,English New Year / इंग्रजी नववर्ष,january,https://kalnirnay.co.in/january/
,"January 2, 2026 / ०२ जानेवारी २०२६",Friday / शुक्रवार,Hazarat Ali’s Birthday / हजरत अली यांचा जन्मदिन,january,https://kalnirnay.co.in/january/
,"January 9, 2026 / ०९ जानेवारी २०२६",Friday / शुक्रवार,Vivekananda Jayanti (Samvat) / विवेकानंद जयंती (संवत),january,https://kalnirnay.co.in/january/
,"January 12, 2026 / १२ जानेवारी २०२६",Monday / सोमवार,Swami Vivekananda Jayanti / स्वामी विवेकानंद जयंती,january,https://kalnirnay.co.in/january/
,"January 12, 2026 / १२ जानेवारी २०२६",Monday / सोमवार,National Youth Day / राष्ट्रीय युवा दिन,january,https://kalnirnay.co.in/january/
,"January 13, 2026 / १३ जानेवारी २०२६",Tuesday / मंगळवार,Lohri / लोहडी,january,https://kalnirnay.co.in/january/
,"January 14, 2026 / १४ जानेवारी २०२६",Wednesday / बुधवार,Makara Sankranti / मकर संक्रांत,january,https://kalnirnay.co.in/january/
,"January 14, 2026 / १४ जानेवारी २०२६",Wednesday / बुधवार,Pongal / पोंगल,january,https://kalnirnay.co.in/january/
,"January 23, 2026 / २३ जानेवारी २०२६",Friday / शुक्रवार,Vasant Panchami / वसंत पंचमी,january,https://kalnirnay.co.in/january/
,"January 23, 2026 / २३ जानेवारी २०२६",Friday / शुक्रवार,Subhas Chandra Bose Jayanti / सुभाषचंद्र बोस जयंती,january,https://kalnirnay.co.in/january/
,"January 26, 2026 / २६ जानेवारी २०२६",Monday / सोमवार,Republic Day / प्रजासत्ताक दिन,january,https://kalnirnay.co.in/january/
,"January 30, 2026 / ३० जानेवारी २०२६",Friday / शुक्रवार,Gandhi Punyatithi / गांधी पुण्यतिथी,january,https://kalnirnay.co.in/january/
,"February 5, 2026 / ०५ फेब्रुवारी २०२६",Thursday / गुरुवार,Dwijapriya Sankashti / द्विजप्रिय संकष्टि,february,https://kalnirnay.co.in/february/
,"February 8, 2026 / ०८ फेब्रुवारी २०२६",Sunday / रविवार,Bhanu Saptami / भानु सप्तमी,february,https://kalnirnay.co.in/february/
,"February 13, 2026 / १३ फेब्रुवारी २०२६",Friday / शुक्रवार,Kumbha Sankranti / कुंभ संक्रांत,february,https://kalnirnay.co.in/february/
,"February 13, 2026 / १३ फेब्रुवारी २०२६",Friday / शुक्रवार,Vijaya Ekadashi / विजय एकादशी,february,https://kalnirnay.co.in/february/
,"February 15, 2026 / १५ फेब्रुवारी २०२६",Sunday / रविवार,Maha Shivaratri / महाशिवरात्री,february,https://kalnirnay.co.in/february/
,"February 17, 2026 / १७ फेब्रुवारी २०२६",Tuesday / मंगळवार,Surya Grahan (Valayakara) / सूर्यग्रहण (वलयकार),february,https://kalnirnay.co.in/february/
,"February 27, 2026 / २७ फेब्रुवारी २०२६",Friday / शुक्रवार,Amalaki Ekadashi / आमलकी एकादशी,february,https://kalnirnay.co.in/february/
,"March 3, 2026 / ०३ मार्च २०२६",Tuesday / मंगळवार,Holi / होळी,march,https://kalnirnay.co.in/march/
,"March 3, 2026 / ०३ मार्च २०२६",Tuesday / मंगळवार,Holika Dahan / होलिका दहन,march,https://kalnirnay.co.in/march/
,"March 3, 2026 / ०३ मार्च २०२६",Tuesday / मंगळवार,Chandra Grahan (Purna) / चंद्रग्रहण (पूर्ण),march,https://kalnirnay.co.in/march/
,"March 4, 2026 / ०४ मार्च २०२६",Wednesday / बुधवार,Dhulivandan / धुळवड,march,https://kalnirnay.co.in/march/
,"March 6, 2026 / ०६ मार्च २०२६",Friday / शुक्रवार,Bhalachandra Sankashti / भालचंद्र संकष्टि,march,https://kalnirnay.co.in/march/
,"March 8, 2026 / ०८ मार्च २०२६",Sunday / रविवार,Ranga Panchami / रंग पंचमी,march,https://kalnirnay.co.in/march/
,"March 15, 2026 / १५ मार्च २०२६",Sunday / रविवार,Meena Sankranti / मीन संक्रांत,march,https://kalnirnay.co.in/march/
,"March 15, 2026 / १५ मार्च २०२६",Sunday / रविवार,Papamochani Ekadashi / पापमोचनी एकादशी,march,https://kalnirnay.co.in/march/
,"March 19, 2026 / १९ मार्च २०२६",Thursday / गुरुवार,Gudi Padwa / गुढी पाडवा,march,https://kalnirnay.co.in/march/
,"March 19, 2026 / १९ मार्च २०२६",Thursday / गुरुवार,Chaitra Navratri Begins / चैत्र नवरात्री,march,https://kalnirnay.co.in/march/
,"March 21, 2026 / २१ मार्च २०२६",Saturday / शनिवार,Chaitragaur / चैत्रगौरी,march,https://kalnirnay.co.in/march/
,"March 21, 2026 / २१ मार्च २०२६",Saturday / शनिवार,Gauri Tritiya / गौरी तृतीया,march,https://kalnirnay.co.in/march/
,"March 26, 2026 / २६ मार्च २०२६",Thursday / गुरुवार,Rama Navami (Smarta) / राम नवमी (स्मार्त),march,https://kalnirnay.co.in/march/
,"March 27, 2026 / २७ मार्च २०२६",Friday / शुक्रवार,Rama Navami (ISKCON) / राम नवमी (इस्कॉन),march,https://kalnirnay.co.in/march/
,"March 29, 2026 / २९ मार्च २०२६",Sunday / रविवार,Kamada Ekadashi / कामदा एकादशी,march,https://kalnirnay.co.in/march/
,"April 2, 2026 / ०२ एप्रिल २०२६",Thursday / गुरुवार,Hanuman Jayanti / हनुमान जयंती,april,https://kalnirnay.co.in/april/
,"April 2, 2026 / ०२ एप्रिल २०२६",Thursday / गुरुवार,Hanuman Janmotsava / हनुमान जन्मोत्सव,april,https://kalnirnay.co.in/april/
,"April 5, 2026 / ०५ एप्रिल २०२६",Sunday / रविवार,Vikata Sankashti / विकट संकष्टि,april,https://kalnirnay.co.in/april/
,"April 13, 2026 / १३ एप्रिल २०२६",Monday / सोमवार,Varuthini Ekadashi / वरूथिनी एकादशी,april,https://kalnirnay.co.in/april/
,"April 14, 2026 / १४ एप्रिल २०२६",Tuesday / मंगळवार,Mesha Sankranti / मेष संक्रांत,april,https://kalnirnay.co.in/april/
,"April 14, 2026 / १४ एप्रिल २०२६",Tuesday / मंगळवार,Solar New Year / सौर नववर्ष,april,https://kalnirnay.co.in/april/
,"April 19, 2026 / १९ एप्रिल २०२६",Sunday / रविवार,Parashurama Jayanti / परशुराम जयंती,april,https://kalnirnay.co.in/april/
